2020-06-08 20:17:24,680 INFO  ExportHelperExtension.cs: 1422 - Component 30 is already fixed
2020-06-08 20:17:24,680 INFO  ExportHelperExtension.cs: 1414 - Fixing 40
2020-06-08 20:17:24,681 INFO  ExportHelperExtension.cs: 1422 - Component 40 is already fixed
2020-06-08 20:17:24,681 INFO  ExportHelperExtension.cs: 1414 - Fixing 39
2020-06-08 20:17:24,681 INFO  ExportHelperExtension.cs: 1422 - Component 39 is already fixed
2020-06-08 20:17:24,681 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-06-08 20:17:24,682 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-06-08 20:17:24,682 INFO  ExportHelperExtension.cs: 1414 - Fixing 39
2020-06-08 20:17:24,682 INFO  ExportHelperExtension.cs: 1422 - Component 39 is already fixed
2020-06-08 20:17:24,682 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-06-08 20:17:24,683 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-06-08 20:17:24,683 INFO  ExportHelperExtension.cs: 1414 - Fixing 40
2020-06-08 20:17:24,683 INFO  ExportHelperExtension.cs: 1422 - Component 40 is already fixed
2020-06-08 20:17:24,684 INFO  ExportHelperExtension.cs: 1414 - Fixing 26
2020-06-08 20:17:24,684 INFO  ExportHelperExtension.cs: 1422 - Component 26 is already fixed
2020-06-08 20:17:24,684 INFO  ExportHelperExtension.cs: 1414 - Fixing 35
2020-06-08 20:17:24,684 INFO  ExportHelperExtension.cs: 1422 - Component 35 is already fixed
2020-06-08 20:17:24,685 INFO  ExportHelperExtension.cs: 1414 - Fixing 34
2020-06-08 20:17:24,685 INFO  ExportHelperExtension.cs: 1422 - Component 34 is already fixed
2020-06-08 20:17:24,685 INFO  ExportHelperExtension.cs: 1414 - Fixing 40
2020-06-08 20:17:24,685 INFO  ExportHelperExtension.cs: 1422 - Component 40 is already fixed
2020-06-08 20:17:24,686 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-06-08 20:17:24,686 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-06-08 20:17:24,686 INFO  ExportHelperExtension.cs: 1414 - Fixing 39
2020-06-08 20:17:24,686 INFO  ExportHelperExtension.cs: 1422 - Component 39 is already fixed
2020-06-08 20:17:24,687 INFO  ExportHelperExtension.cs: 1414 - Fixing 33
2020-06-08 20:17:24,687 INFO  ExportHelperExtension.cs: 1422 - Component 33 is already fixed
2020-06-08 20:17:24,687 INFO  ExportHelperExtension.cs: 1414 - Fixing 31
2020-06-08 20:17:24,687 INFO  ExportHelperExtension.cs: 1422 - Component 31 is already fixed
2020-06-08 20:17:24,688 INFO  ExportHelperExtension.cs: 1414 - Fixing 39
2020-06-08 20:17:24,688 INFO  ExportHelperExtension.cs: 1422 - Component 39 is already fixed
2020-06-08 20:17:24,688 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-06-08 20:17:24,689 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-06-08 20:17:24,689 INFO  ExportHelperExtension.cs: 1414 - Fixing 40
2020-06-08 20:17:24,689 INFO  ExportHelperExtension.cs: 1422 - Component 40 is already fixed
2020-06-08 20:17:24,689 INFO  ExportHelperExtension.cs: 1414 - Fixing 29
2020-06-08 20:17:24,690 INFO  ExportHelperExtension.cs: 1422 - Component 29 is already fixed
2020-06-08 20:17:24,690 INFO  ExportHelperExtension.cs: 1414 - Fixing 27
2020-06-08 20:17:24,690 INFO  ExportHelperExtension.cs: 1422 - Component 27 is already fixed
2020-06-08 20:17:24,690 INFO  ExportHelperExtension.cs: 1414 - Fixing 40
2020-06-08 20:17:24,691 INFO  ExportHelperExtension.cs: 1422 - Component 40 is already fixed
2020-06-08 20:17:24,691 INFO  ExportHelperExtension.cs: 1414 - Fixing 34
2020-06-08 20:17:24,691 INFO  ExportHelperExtension.cs: 1422 - Component 34 is already fixed
2020-06-08 20:17:24,691 INFO  ExportHelperExtension.cs: 1414 - Fixing 30
2020-06-08 20:17:24,692 INFO  ExportHelperExtension.cs: 1422 - Component 30 is already fixed
2020-06-08 20:17:24,692 INFO  ExportHelperExtension.cs: 1414 - Fixing 31
2020-06-08 20:17:24,692 INFO  ExportHelperExtension.cs: 1422 - Component 31 is already fixed
2020-06-08 20:17:24,693 INFO  ExportHelperExtension.cs: 1414 - Fixing 28
2020-06-08 20:17:24,693 INFO  ExportHelperExtension.cs: 1422 - Component 28 is already fixed
2020-06-08 20:17:24,694 INFO  ExportHelperExtension.cs: 1414 - Fixing 26
2020-06-08 20:17:24,694 INFO  ExportHelperExtension.cs: 1422 - Component 26 is already fixed
2020-06-08 20:17:24,694 INFO  ExportHelperExtension.cs: 1414 - Fixing 25
2020-06-08 20:17:24,694 INFO  ExportHelperExtension.cs: 1422 - Component 25 is already fixed
2020-06-08 20:17:24,695 INFO  ExportHelperExtension.cs: 1414 - Fixing 27
2020-06-08 20:17:24,695 INFO  ExportHelperExtension.cs: 1422 - Component 27 is already fixed
2020-06-08 20:17:24,695 INFO  ExportHelperExtension.cs: 1414 - Fixing 34
2020-06-08 20:17:24,695 INFO  ExportHelperExtension.cs: 1422 - Component 34 is already fixed
2020-06-08 20:17:24,696 INFO  ExportHelperExtension.cs: 1414 - Fixing 25
2020-06-08 20:17:24,696 INFO  ExportHelperExtension.cs: 1422 - Component 25 is already fixed
2020-06-08 20:17:24,696 INFO  ExportHelperExtension.cs: 1414 - Fixing 30
2020-06-08 20:17:24,697 INFO  ExportHelperExtension.cs: 1422 - Component 30 is already fixed
2020-06-08 20:17:24,697 INFO  ExportHelperExtension.cs: 1414 - Fixing 31
2020-06-08 20:17:24,697 INFO  ExportHelperExtension.cs: 1422 - Component 31 is already fixed
2020-06-08 20:17:24,697 INFO  ExportHelperExtension.cs: 1414 - Fixing 28
2020-06-08 20:17:24,698 INFO  ExportHelperExtension.cs: 1422 - Component 28 is already fixed
2020-06-08 20:17:24,698 INFO  ExportHelperExtension.cs: 1414 - Fixing 35
2020-06-08 20:17:24,698 INFO  ExportHelperExtension.cs: 1422 - Component 35 is already fixed
2020-06-08 20:17:24,698 INFO  ExportHelperExtension.cs: 1414 - Fixing 26
2020-06-08 20:17:24,699 INFO  ExportHelperExtension.cs: 1422 - Component 26 is already fixed
2020-06-08 20:17:24,704 INFO  ExportHelperExtension.cs: 1414 - Fixing 36
2020-06-08 20:17:24,704 INFO  ExportHelperExtension.cs: 1422 - Component 36 is already fixed
2020-06-08 20:17:24,704 INFO  ExportHelperExtension.cs: 1414 - Fixing 37
2020-06-08 20:17:24,705 INFO  ExportHelperExtension.cs: 1422 - Component 37 is already fixed
2020-06-08 20:17:24,705 INFO  ExportHelperExtension.cs: 1414 - Fixing 27
2020-06-08 20:17:24,705 INFO  ExportHelperExtension.cs: 1422 - Component 27 is already fixed
2020-06-08 20:17:24,706 INFO  ExportHelperExtension.cs: 1414 - Fixing 34
2020-06-08 20:17:24,706 INFO  ExportHelperExtension.cs: 1422 - Component 34 is already fixed
2020-06-08 20:17:24,706 INFO  ExportHelperExtension.cs: 1414 - Fixing 25
2020-06-08 20:17:24,706 INFO  ExportHelperExtension.cs: 1422 - Component 25 is already fixed
2020-06-08 20:17:24,707 INFO  ExportHelperExtension.cs: 1414 - Fixing 31
2020-06-08 20:17:24,707 INFO  ExportHelperExtension.cs: 1422 - Component 31 is already fixed
2020-06-08 20:17:24,707 INFO  ExportHelperExtension.cs: 1414 - Fixing 28
2020-06-08 20:17:24,707 INFO  ExportHelperExtension.cs: 1422 - Component 28 is already fixed
2020-06-08 20:17:24,708 INFO  ExportHelperExtension.cs: 1414 - Fixing 30
2020-06-08 20:17:24,708 INFO  ExportHelperExtension.cs: 1422 - Component 30 is already fixed
2020-06-08 20:17:24,708 INFO  ExportHelperExtension.cs: 1414 - Fixing 35
2020-06-08 20:17:24,708 INFO  ExportHelperExtension.cs: 1422 - Component 35 is already fixed
2020-06-08 20:17:24,709 INFO  ExportHelperExtension.cs: 1414 - Fixing 41
2020-06-08 20:17:24,709 INFO  ExportHelperExtension.cs: 1422 - Component 41 is already fixed
2020-06-08 20:17:24,709 INFO  ExportHelperExtension.cs: 1414 - Fixing 42
2020-06-08 20:17:24,709 INFO  ExportHelperExtension.cs: 1422 - Component 42 is already fixed
2020-06-08 20:17:24,710 INFO  ExportHelperExtension.cs: 1414 - Fixing 42
2020-06-08 20:17:24,710 INFO  ExportHelperExtension.cs: 1422 - Component 42 is already fixed
2020-06-08 20:17:24,710 INFO  ExportHelperExtension.cs: 1414 - Fixing 41
2020-06-08 20:17:24,711 INFO  ExportHelperExtension.cs: 1422 - Component 41 is already fixed
2020-06-08 20:17:24,711 INFO  ExportHelperExtension.cs: 1414 - Fixing 41
2020-06-08 20:17:24,711 INFO  ExportHelperExtension.cs: 1422 - Component 41 is already fixed
2020-06-08 20:17:24,711 INFO  ExportHelperExtension.cs: 1414 - Fixing 42
2020-06-08 20:17:24,712 INFO  ExportHelperExtension.cs: 1422 - Component 42 is already fixed
2020-06-08 20:17:24,712 INFO  ExportHelperExtension.cs: 1414 - Fixing 42
2020-06-08 20:17:24,712 INFO  ExportHelperExtension.cs: 1422 - Component 42 is already fixed
2020-06-08 20:17:24,712 INFO  ExportHelperExtension.cs: 1414 - Fixing 41
2020-06-08 20:17:24,713 INFO  ExportHelperExtension.cs: 1422 - Component 41 is already fixed
2020-06-08 20:17:24,713 INFO  ExportHelperExtension.cs: 1414 - Fixing 28
2020-06-08 20:17:24,713 INFO  ExportHelperExtension.cs: 1422 - Component 28 is already fixed
2020-06-08 20:17:24,713 INFO  ExportHelperExtension.cs: 1414 - Fixing 35
2020-06-08 20:17:24,714 INFO  ExportHelperExtension.cs: 1422 - Component 35 is already fixed
2020-06-08 20:17:24,714 INFO  ExportHelperExtension.cs: 1414 - Fixing 26
2020-06-08 20:17:24,714 INFO  ExportHelperExtension.cs: 1422 - Component 26 is already fixed
2020-06-08 20:17:24,715 INFO  ExportHelperExtension.cs: 1414 - Fixing 30
2020-06-08 20:17:24,715 INFO  ExportHelperExtension.cs: 1422 - Component 30 is already fixed
2020-06-08 20:17:24,715 INFO  ExportHelperExtension.cs: 1414 - Fixing 31
2020-06-08 20:17:24,715 INFO  ExportHelperExtension.cs: 1422 - Component 31 is already fixed
2020-06-08 20:17:24,716 INFO  ExportHelperExtension.cs: 1414 - Fixing 34
2020-06-08 20:17:24,716 INFO  ExportHelperExtension.cs: 1422 - Component 34 is already fixed
2020-06-08 20:17:24,716 INFO  ExportHelperExtension.cs: 1414 - Fixing 25
2020-06-08 20:17:24,716 INFO  ExportHelperExtension.cs: 1422 - Component 25 is already fixed
2020-06-08 20:17:24,717 INFO  ExportHelperExtension.cs: 1414 - Fixing 27
2020-06-08 20:17:24,717 INFO  ExportHelperExtension.cs: 1422 - Component 27 is already fixed
2020-06-08 20:17:24,717 INFO  ExportHelperExtension.cs: 1414 - Fixing 29
2020-06-08 20:17:24,718 INFO  ExportHelperExtension.cs: 1422 - Component 29 is already fixed
2020-06-08 20:17:24,718 INFO  ExportHelperExtension.cs: 1414 - Fixing 35
2020-06-08 20:17:24,718 INFO  ExportHelperExtension.cs: 1422 - Component 35 is already fixed
2020-06-08 20:17:24,718 INFO  ExportHelperExtension.cs: 1414 - Fixing 29
2020-06-08 20:17:24,719 INFO  ExportHelperExtension.cs: 1422 - Component 29 is already fixed
2020-06-08 20:17:24,719 INFO  ExportHelperExtension.cs: 1414 - Fixing 39
2020-06-08 20:17:24,719 INFO  ExportHelperExtension.cs: 1422 - Component 39 is already fixed
2020-06-08 20:17:24,720 INFO  ExportHelperExtension.cs: 1414 - Fixing 29
2020-06-08 20:17:24,720 INFO  ExportHelperExtension.cs: 1422 - Component 29 is already fixed
2020-06-08 20:17:24,720 INFO  ExportHelperExtension.cs: 1414 - Fixing 29
2020-06-08 20:17:24,720 INFO  ExportHelperExtension.cs: 1422 - Component 29 is already fixed
2020-06-08 20:17:27,604 INFO  ExportHelperExtension.cs: 835 - R1: 0, 0
2020-06-08 20:17:27,604 INFO  ExportHelperExtension.cs: 844 - R2: 0, 0
2020-06-08 20:17:27,605 INFO  ExportHelperExtension.cs: 852 - L1: 0
2020-06-08 20:17:27,605 INFO  ExportHelperExtension.cs: 860 - L2: 0
2020-06-08 20:17:28,880 WARN  ExportHelperExtension.cs: 342 - Creating joint from parent base_link to child front_L_motor_rev_link failed
2020-06-08 20:17:28,895 INFO  ExportHelperExtension.cs: 338 - Creating joint front_L_tire_link
2020-06-08 20:17:28,895 INFO  ExportHelperExtension.cs: 1409 - Fixing components for front_L_motor_rev_link
2020-06-08 20:17:28,895 INFO  ExportHelperExtension.cs: 1414 - Fixing 43
2020-06-08 20:17:28,896 INFO  ExportHelperExtension.cs: 1422 - Component 43 is already fixed
2020-06-08 20:17:28,896 INFO  ExportHelperExtension.cs: 1414 - Fixing 28
